project_ena	sample_ena	sample_original	sag_id	sample_description	collection_date
PRJEB108838	ERS29379412	P1_14	ICM0042_COSAG.1_MAST-4	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379413	P1_27	ICM0042_COSAG.1_MAST-4	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379414	P1_29	ICM0042_COSAG.1_MAST-4	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379415	P1_33	ICM0042_COSAG.1_MAST-4	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379416	P1_47	ICM0042_COSAG.1_MAST-4	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379417	P1_19	ICM0043_COSAG.1_MAST-7	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379418	P2_35	ICM0043_COSAG.1_MAST-7	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379419	P3_02	ICM0043_COSAG.1_MAST-7	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379420	P1_35	ICM0044_SAG.1_Labyrinthulomycetes	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379421	GC1003827_G01_1	ICM0045_COSAG.1_MAST-3	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379422	GC1003827_G01_2	ICM0045_COSAG.1_MAST-3	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379423	P1_38	ICM0045_COSAG.1_MAST-3	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379424	P1_46	ICM0046_SAG.1_MAST-3	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379425	P1_49	ICM0047_SAG.1_Endomyxa	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379426	GC1003828_A02_1	ICM0048_COSAG.1_Chrysophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379427	GC1003828_A02_2	ICM0048_COSAG.1_Chrysophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379428	P1_53	ICM0048_COSAG.1_Chrysophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379429	P3_29	ICM0048_COSAG.1_Chrysophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379430	P4_25	ICM0048_COSAG.1_Chrysophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379431	P1_60	ICM0049_SAG.1_MAST-7	Sample used for final dataset	2020-09-15
