annot	count	avg_count
PID	174	1.2253521126760563
Zn_ribbon_RanBP	1631	11.485915492957746
zf-CCCH	3695	26.02112676056338
zf-B_box	1401	9.866197183098592
PARP	2076	14.619718309859154
zf-PARP	314	2.211267605633803
F-box	1491	10.5
EF1G	137	0.9647887323943662
Peptidase_C2	1604	11.295774647887324
Copper-fist	21	0.14788732394366197
CRAL_TRIO	2081	14.654929577464788
BTB	4074	28.690140845070424
Ricin_B_lectin	556	3.915492957746479
BIR	184	1.295774647887324
Voltage_CLC	1085	7.640845070422535
Peptidase_C14	1049	7.387323943661972
Lipase_GDSL	332	2.3380281690140845
MLLE	430	3.028169014084507
POLO_box	351	2.471830985915493
SRP1_TIP1	32	0.22535211267605634
Proton_antipo_N	24	0.16901408450704225
ABC_membrane	5300	37.32394366197183
rve	872	6.140845070422535
FAD_binding_1	735	5.176056338028169
Condensation	448	3.1549295774647885
Flagellin_N	16	0.11267605633802817
AdoHcyase_NAD	230	1.619718309859155
HAMP	139	0.9788732394366197
Ribosomal_L5_C	286	2.0140845070422535
DUP	34	0.23943661971830985
Peptidase_M16	1270	8.943661971830986
E1_dh	663	4.669014084507042
Lum_binding	185	1.3028169014084507
EFG_C	1191	8.387323943661972
RdRP_1	2	0.014084507042253521
HMGL-like	453	3.1901408450704225
DnaJ_CXXCXGXG	704	4.957746478873239
Sulfotransfer_1	609	4.288732394366197
CBM_20	890	6.267605633802817
Ribosomal_L1	565	3.9788732394366195
Cation_ATPase_C	1420	10.0
Cation_ATPase_N	1581	11.133802816901408
OmpA	75	0.528169014084507
dUTPase	160	1.1267605633802817
Aconitase_C	371	2.612676056338028
AA_kinase	651	4.584507042253521
PRAI	119	0.8380281690140845
Acyl_transf_1	543	3.823943661971831
Urease_beta	56	0.39436619718309857
Flagellin_C	13	0.09154929577464789
DHDPS	213	1.5
Hydrolase	2962	20.859154929577464
Glyco_hydro_2	246	1.732394366197183
Glyco_hydro_18	592	4.169014084507042
PCNA_N	286	2.0140845070422535
IF3_C	84	0.5915492957746479
Acylphosphatase	118	0.8309859154929577
Adenylsucc_synt	199	1.4014084507042253
Asparaginase	263	1.852112676056338
DNA_pol3_beta	6	0.04225352112676056
Peptidase_S24	121	0.852112676056338
Pyrophosphatase	447	3.147887323943662
TMV_coat	1	0.007042253521126761
Glyco_hydro_16	389	2.73943661971831
Glyco_hydro_15	161	1.1338028169014085
Oxidored_FMN	495	3.4859154929577465
3HCDH	487	3.4295774647887325
Glyco_hydro_20	528	3.7183098591549295
Viral_coat	3	0.02112676056338028
HhH-GPD	519	3.6549295774647885
AIRC	136	0.9577464788732394
GMC_oxred_N	478	3.3661971830985915
Asn_synthase	419	2.9507042253521125
CBM_1	203	1.4295774647887325
Septin	353	2.4859154929577465
EF1_GNE	207	1.4577464788732395
PsbH	5	0.035211267605633804
Gas_vesicle	2	0.014084507042253521
Homoserine_dh	209	1.471830985915493
FMO-like	655	4.612676056338028
GlutR_dimer	46	0.323943661971831
Gram_pos_anchor	2	0.014084507042253521
tRNA-synt_1c	540	3.8028169014084505
tRNA-synt_1d	323	2.2746478873239435
XPG_N	626	4.408450704225352
Lactamase_B	1053	7.415492957746479
F5_F8_type_C	880	6.197183098591549
Carn_acyltransf	632	4.450704225352113
Esterase	285	2.007042253521127
Furin-like	8	0.056338028169014086
Glyco_hydro_9	98	0.6901408450704225
Ferrochelatase	169	1.1901408450704225
THF_DHG_CYH	332	2.3380281690140845
Arginosuc_synth	108	0.7605633802816901
Autoind_synth	1	0.007042253521126761
ETF_alpha	186	1.3098591549295775
Peptidase_S11	106	0.7464788732394366
ERM_C	17	0.11971830985915492
FHIPEP	5	0.035211267605633804
DnaB	9	0.06338028169014084
RNB	626	4.408450704225352
Dioxygenase_C	41	0.2887323943661972
Glyco_transf_29	452	3.183098591549296
DIX	72	0.5070422535211268
BTK	38	0.2676056338028169
CNH	280	1.971830985915493
DAGK_cat	791	5.570422535211268
DSPc	2958	20.830985915492956
MyTH4	493	3.471830985915493
PBD	491	3.4577464788732395
PX	3056	21.52112676056338
RA	146	1.028169014084507
UBX	1024	7.211267605633803
VHS	303	2.1338028169014085
ZU5	34	0.23943661971830985
PI3K_C2	304	2.140845070422535
DAHP_synth_1	202	1.4225352112676057
PI3K_rbd	167	1.176056338028169
CN_hydrolase	915	6.443661971830986
PSI_8	7	0.04929577464788732
Acetyltransf_2	112	0.7887323943661971
Gemini_AL1	7	0.04929577464788732
PDT	153	1.0774647887323943
PKD	45	0.31690140845070425
Syntaxin	248	1.7464788732394365
Pentapeptide	2514	17.704225352112676
PUF	4547	32.021126760563384
CBFD_NFYB_HMF	723	5.091549295774648
Pterin_bind	264	1.8591549295774648
ER_lumen_recept	394	2.7746478873239435
Ependymin	40	0.28169014084507044
FliP	1	0.007042253521126761
