annot	count_bg	avg_count	count_fg	species	pval	pval_adj	species_count
Bestrophin_2	998.0	7.028169014084507	17.0	ICM0003_COSAG.1_Prymnesiophyceae	5.237742300370782e-05	0.006766692243782388	1
Beta-AFase-like_GH127_cat	82.0	0.5774647887323944	5.0	ICM0003_COSAG.1_Prymnesiophyceae	0.00011381972930806483	0.013354073954940097	1
Beta-lactamase	826.0	5.816901408450704	14.0	ICM0003_COSAG.1_Prymnesiophyceae	0.00024161354703576107	0.02449288191114202	1
CRAL_TRIO	2081.0	14.654929577464788	30.0	ICM0003_COSAG.1_Prymnesiophyceae	2.6964213429101825e-06	0.0005636991381960233	1
Chloroa_b-bind	1649.0	11.612676056338028	31.0	ICM0003_COSAG.1_Prymnesiophyceae	6.9694155162747905e-09	2.5041981126914855e-06	1
Chromo	2103.0	14.809859154929578	27.0	ICM0003_COSAG.1_Prymnesiophyceae	6.767791003972212e-05	0.00836731838319059	1
Cupin_8	1812.0	12.76056338028169	32.0	ICM0003_COSAG.1_Prymnesiophyceae	1.6623410281693626e-08	5.309332539414258e-06	1
CysS_C	149.0	1.0492957746478873	6.0	ICM0003_COSAG.1_Prymnesiophyceae	0.0002103036635888392	0.02198246839949521	1
DUF285	492.0	3.464788732394366	68.0	ICM0003_COSAG.1_Prymnesiophyceae	1.1075936362882317e-67	1.2735111630042086e-63	1
DUF3431	170.0	1.1971830985915493	7.0	ICM0003_COSAG.1_Prymnesiophyceae	5.523922154561771e-05	0.0070571174370168055	1
DUF6625	85.0	0.5985915492957746	9.0	ICM0003_COSAG.1_Prymnesiophyceae	2.588792202392184e-09	1.063069026539476e-06	1
Dev_Cell_Death	109.0	0.7676056338028169	6.0	ICM0003_COSAG.1_Prymnesiophyceae	4.064288916068469e-05	0.005433859762436658	1
DnaJ	7313.0	51.5	68.0	ICM0003_COSAG.1_Prymnesiophyceae	3.0146953946967473e-05	0.004227191176612586	1
EF-hand_5	4944.0	34.816901408450704	84.0	ICM0003_COSAG.1_Prymnesiophyceae	8.553081468324387e-19	1.2292916340349226e-15	1
EF-hand_6	782.0	5.507042253521127	13.0	ICM0003_COSAG.1_Prymnesiophyceae	0.0004723547056299702	0.04488540830854048	1
EF-hand_7	17178.0	120.97183098591547	174.0	ICM0003_COSAG.1_Prymnesiophyceae	4.8717633438827535e-14	3.905941151921979e-11	1
EGF_TEN	995.0	7.007042253521127	28.0	ICM0003_COSAG.1_Prymnesiophyceae	6.493140566575692e-12	4.147673901915961e-09	1
EGF_Tenascin	276.0	1.943661971830986	11.0	ICM0003_COSAG.1_Prymnesiophyceae	6.119432733270877e-07	0.00014658591159822613	1
EGF_Teneurin	2194.0	15.450704225352112	46.0	ICM0003_COSAG.1_Prymnesiophyceae	5.09559204025306e-14	3.905941151921979e-11	1
Ephrin_rec_like	5187.0	36.5281690140845	8.0	ICM0003_COSAG.1_Prymnesiophyceae	2.267561871588746e-05	0.0035715652602092327	1
Exostosin_GT47	892.0	6.28169014084507	37.0	ICM0003_COSAG.1_Prymnesiophyceae	2.0531077973860238e-20	4.7213266908689006e-17	1
FAD_binding_3	1318.0	9.28169014084507	18.0	ICM0003_COSAG.1_Prymnesiophyceae	0.00045231645750390664	0.043339455236499326	1
FG-GAP_3	1552.0	10.929577464788732	27.0	ICM0003_COSAG.1_Prymnesiophyceae	2.752915208688769e-07	7.361167225465922e-05	1
FKBP_C	2680.0	18.87323943661972	47.0	ICM0003_COSAG.1_Prymnesiophyceae	1.1345110221312424e-11	6.865583017086855e-09	1
FKS1_dom1	135.0	0.9507042253521126	12.0	ICM0003_COSAG.1_Prymnesiophyceae	3.8814713024829415e-11	2.231457851797443e-08	1
GH123_N	84.0	0.5915492957746479	6.0	ICM0003_COSAG.1_Prymnesiophyceae	1.0079875482915345e-05	0.0017560364894327368	1
GH5_mannosidase	0.0	0.0	6.0	ICM0003_COSAG.1_Prymnesiophyceae	2.380113545462139e-14	2.2805454621436395e-11	1
GLTP	260.0	1.8309859154929575	8.0	ICM0003_COSAG.1_Prymnesiophyceae	0.00011858516199136863	0.013634921925767565	1
GYF_2	289.0	2.035211267605634	10.0	ICM0003_COSAG.1_Prymnesiophyceae	6.535362420413935e-06	0.0012119935017728938	1
Galactosyl_T	456.0	3.211267605633803	13.0	ICM0003_COSAG.1_Prymnesiophyceae	2.2777188416929376e-06	0.0004849853933663962	1
Glucan_synthase	321.0	2.26056338028169	24.0	ICM0003_COSAG.1_Prymnesiophyceae	3.475428451774988e-19	5.70863947692983e-16	1
Gly_transf_sug	638.0	4.492957746478873	15.0	ICM0003_COSAG.1_Prymnesiophyceae	3.894681783943955e-06	0.0007463508525297934	1
Glyco_hydro_7	108.0	0.7605633802816901	5.0	ICM0003_COSAG.1_Prymnesiophyceae	0.00038541686424784676	0.03755528055187917	1
Glyco_transf_29	452.0	3.183098591549296	14.0	ICM0003_COSAG.1_Prymnesiophyceae	3.6531461181147416e-07	9.131276970887674e-05	1
Glyco_transf_8	602.0	4.23943661971831	12.0	ICM0003_COSAG.1_Prymnesiophyceae	0.0001581535444393934	0.017155183527963636	1
Glyco_transf_90	633.0	4.457746478873239	24.0	ICM0003_COSAG.1_Prymnesiophyceae	5.376125866239793e-13	3.8634184506265715e-10	1
Guanylate_cyc	7975.0	56.16197183098591	10.0	ICM0003_COSAG.1_Prymnesiophyceae	3.3879904971535033e-09	1.3432798184921028e-06	1
HATPase_c	3396.0	23.91549295774648	4.0	ICM0003_COSAG.1_Prymnesiophyceae	0.00013691794907440277	0.01528429687822799	1
HMG_box	2053.0	14.45774647887324	25.0	ICM0003_COSAG.1_Prymnesiophyceae	0.00024284123655159072	0.02449288191114202	1
HPAT	278.0	1.9577464788732395	11.0	ICM0003_COSAG.1_Prymnesiophyceae	6.550030142649153e-07	0.00015369846240853054	1
His_Phos_1	2772.0	19.52112676056338	31.0	ICM0003_COSAG.1_Prymnesiophyceae	0.00023118329636158324	0.02373344233540611	1
IQ	6824.0	48.056338028169016	13.0	ICM0003_COSAG.1_Prymnesiophyceae	1.3423092200462854e-05	0.0021866602758994196	1
JmjC_2	471.0	3.316901408450704	16.0	ICM0003_COSAG.1_Prymnesiophyceae	1.6233061796536675e-08	5.309332539414258e-06	1
LRR_1	8651.0	60.92253521126761	19.0	ICM0003_COSAG.1_Prymnesiophyceae	8.46244462446468e-06	0.0015203310670639826	1
LRR_5	4670.0	32.88732394366197	6.0	ICM0003_COSAG.1_Prymnesiophyceae	1.234731390196098e-05	0.002057527757170252	1
LRR_8	7837.0	55.19014084507042	12.0	ICM0003_COSAG.1_Prymnesiophyceae	9.991986216881695e-08	2.9458425005565573e-05	1
Leu_zip	86.0	0.6056338028169014	5.0	ICM0003_COSAG.1_Prymnesiophyceae	0.00014073616503250034	0.015559465630227776	1
Lipase_GDSL_2	741.0	5.21830985915493	13.0	ICM0003_COSAG.1_Prymnesiophyceae	0.0002881583639157884	0.028562455761239097	1
MBD	109.0	0.7676056338028169	7.0	ICM0003_COSAG.1_Prymnesiophyceae	3.571749545015111e-06	0.0007204908117295394	1
MSS51_C	197.0	1.3873239436619718	7.0	ICM0003_COSAG.1_Prymnesiophyceae	0.0001338129900930537	0.015084134902842465	1
Methyltransf_16	2176.0	15.32394366197183	37.0	ICM0003_COSAG.1_Prymnesiophyceae	3.5563512650897828e-09	1.3630308948667442e-06	1
Methyltransf_21	1311.0	9.232394366197184	27.0	ICM0003_COSAG.1_Prymnesiophyceae	1.0362060446241305e-08	3.504205029731839e-06	1
Methyltransf_22	215.0	1.5140845070422535	8.0	ICM0003_COSAG.1_Prymnesiophyceae	3.295703848534545e-05	0.004511190815529785	1
Methyltransf_25	1340.0	9.43661971830986	22.0	ICM0003_COSAG.1_Prymnesiophyceae	7.998302251009482e-06	0.0014597536393985242	1
Methyltransf_32	312.0	2.197183098591549	9.0	ICM0003_COSAG.1_Prymnesiophyceae	7.313686894455075e-05	0.008946039565153666	1
Mg_trans_NIPA	947.0	6.669014084507042	19.0	ICM0003_COSAG.1_Prymnesiophyceae	2.105806066939857e-06	0.0004568407199561222	1
Mpv17_PMP22	910.0	6.408450704225352	16.0	ICM0003_COSAG.1_Prymnesiophyceae	5.9898962055528064e-05	0.00756833259026881	1
Myb_DNA-binding	5672.0	39.94366197183098	56.0	ICM0003_COSAG.1_Prymnesiophyceae	3.777725216573232e-05	0.0051101511223716495	1
Myosin_head	2777.0	19.556338028169016	42.0	ICM0003_COSAG.1_Prymnesiophyceae	8.850077280522666e-09	3.0835814718621095e-06	1
Na_H_Exchanger	1391.0	9.795774647887324	20.0	ICM0003_COSAG.1_Prymnesiophyceae	0.00011764686531463107	0.013634921925767565	1
Notch	989.0	6.964788732394366	25.0	ICM0003_COSAG.1_Prymnesiophyceae	7.093059557632734e-10	3.262239951746447e-07	1
Nuc_sug_transp	871.0	6.133802816901408	15.0	ICM0003_COSAG.1_Prymnesiophyceae	0.000124911345006623	0.014220105394912388	1
Nucleotid_trans	1029.0	7.246478873239437	38.0	ICM0003_COSAG.1_Prymnesiophyceae	2.6869496609089223e-19	5.149091200188466e-16	1
PC-Esterase	145.0	1.0211267605633805	6.0	ICM0003_COSAG.1_Prymnesiophyceae	0.00018258282504648147	0.01961997497555555	1
PDZ_6	1888.0	13.295774647887324	25.0	ICM0003_COSAG.1_Prymnesiophyceae	9.955890396917734e-05	0.011924252894141679	1
PHD	2396.0	16.87323943661972	36.0	ICM0003_COSAG.1_Prymnesiophyceae	1.1257230752412374e-07	3.2358909797809366e-05	1
PK_Tyr_Ser-Thr	12461.0	87.75352112676056	26.0	ICM0003_COSAG.1_Prymnesiophyceae	1.7722025299712407e-08	5.362311760423507e-06	1
PLU-1	147.0	1.0352112676056338	6.0	ICM0003_COSAG.1_Prymnesiophyceae	0.00019605735600833208	0.020681353021869745	1
PUF	4547.0	32.021126760563384	5.0	ICM0003_COSAG.1_Prymnesiophyceae	3.702539757505761e-06	0.0007215559683356143	1
PWWP	472.0	3.323943661971831	17.0	ICM0003_COSAG.1_Prymnesiophyceae	2.549901305224908e-09	1.063069026539476e-06	1
PhyH	1494.0	10.52112676056338	27.0	ICM0003_COSAG.1_Prymnesiophyceae	1.336371584456879e-07	3.747707433679316e-05	1
Pkinase	49474.0	348.40845070422534	191.0	ICM0003_COSAG.1_Prymnesiophyceae	1.0604729597804692e-06	0.0002390846684618791	1
RESC6	0.0	0.0	5.0	ICM0003_COSAG.1_Prymnesiophyceae	4.438624835056528e-12	3.0020769619694097e-09	1
RNA_hel_CTD	0.0	0.0	4.0	ICM0003_COSAG.1_Prymnesiophyceae	8.27686200447864e-10	3.6602830510575153e-07	1
RRM_1	21714.0	152.9154929577465	70.0	ICM0003_COSAG.1_Prymnesiophyceae	3.6996052523008527e-06	0.0007215559683356143	1
Ras	10354.0	72.91549295774648	24.0	ICM0003_COSAG.1_Prymnesiophyceae	2.8844893924426807e-06	0.0005922474827554633	1
RsmF-B_ferredox	116.0	0.8169014084507042	5.0	ICM0003_COSAG.1_Prymnesiophyceae	0.0005269229489066952	0.049256585906741306	1
SAP	1590.0	11.19718309859155	33.0	ICM0003_COSAG.1_Prymnesiophyceae	2.160520586839913e-10	1.1748907670525472e-07	1
SURF4	130.0	0.9154929577464788	7.0	ICM0003_COSAG.1_Prymnesiophyceae	1.0683583702618775e-05	0.0018064683148928042	1
Sec39	51.0	0.3591549295774648	4.0	ICM0003_COSAG.1_Prymnesiophyceae	0.00022693268134725615	0.023506954685862624	1
Sel1	27035.0	190.387323943662	33.0	ICM0003_COSAG.1_Prymnesiophyceae	2.501045013401398e-29	9.585671854696426e-26	1
ShK	1437.0	10.119718309859154	90.0	ICM0003_COSAG.1_Prymnesiophyceae	2.739127602970509e-61	1.5747244589477458e-57	1
Sulfatase	1774.0	12.492957746478874	43.0	ICM0003_COSAG.1_Prymnesiophyceae	2.925435361096669e-15	3.057877798353591e-12	1
Sulfotransfer_1	609.0	4.288732394366197	14.0	ICM0003_COSAG.1_Prymnesiophyceae	1.0295758056106128e-05	0.0017668750168523622	1
Sulfotransfer_2	406.0	2.859154929577465	10.0	ICM0003_COSAG.1_Prymnesiophyceae	0.00010567129522317537	0.012525861365732686	1
Sulfotransfer_4	245.0	1.7253521126760565	14.0	ICM0003_COSAG.1_Prymnesiophyceae	2.337127939983591e-10	1.1748907670525472e-07	1
TIG	8938.0	62.94366197183098	86.0	ICM0003_COSAG.1_Prymnesiophyceae	7.680644847394021e-07	0.0001766241089106729	1
TM_HPP	139.0	0.9788732394366196	6.0	ICM0003_COSAG.1_Prymnesiophyceae	0.0001464891990400245	0.01604126486249716	1
