id	Group	Supergroup
FR874325.1.1799_U|18S_rRNA|nucleus|clone_1801F10|Eukaryota|TSAR|Stramenopiles|Bigyra|Sagenista|Sagenista_X|MAST-7|MAST-7A|MAST-7A_sp.	MAST-7A	Stramenopiles
JQ781913.1.1798_U|18S_rRNA|nucleus|clone_H3S1Ae567|Eukaryota|TSAR|Stramenopiles|Bigyra|Sagenista|Sagenista_X|MAST-7|MAST-7A|MAST-7A_sp.	MAST-7A	Stramenopiles
EU562085.1.945_U|18S_rRNA|nucleus|clone_IND72.08|Eukaryota|TSAR|Stramenopiles|Bigyra|Sagenista|Sagenista_X|MAST-7|MAST-7B|MAST-7B_sp.	MAST-7B	Stramenopiles
JQ781942.1.1798_U|18S_rRNA|nucleus|clone_155S8Be83u|Eukaryota|TSAR|Stramenopiles|Bigyra|Sagenista|Sagenista_X|MAST-7|MAST-7B|MAST-7B_sp.	MAST-7B	Stramenopiles
JQ781968.1.1798_U|18S_rRNA|nucleus|clone_155D8Ae6Dj|Eukaryota|TSAR|Stramenopiles|Bigyra|Sagenista|Sagenista_X|MAST-7|MAST-7C|MAST-7C_sp.	MAST-7C	Stramenopiles
KF129648.1.1755_U|18S_rRNA|nucleus|clone_ST3500.061|Eukaryota|TSAR|Stramenopiles|Bigyra|Sagenista|Sagenista_X|MAST-7|MAST-7D|MAST-7D_sp.	MAST-7D	Stramenopiles
JQ222913.1.1653_U|18S_rRNA|nucleus|clone_SHAU437|Eukaryota|TSAR|Stramenopiles|Bigyra|Sagenista|Sagenista_X|MAST-8|MAST-8A|MAST-8A_sp.	MAST-8A	Stramenopiles
GU823098.1.1211_U|18S_rRNA|nucleus|clone_AA5F15RM1F05|Eukaryota|TSAR|Stramenopiles|Bigyra|Sagenista|Sagenista_X|MAST-8|MAST-8B|MAST-8B_sp.	MAST-8B	Stramenopiles
KJ763801.1.1811_U|18S_rRNA|nucleus|clone_SGYP634|Eukaryota|TSAR|Stramenopiles|Bigyra|Sagenista|Sagenista_X|MAST-8|MAST-8C|MAST-8C_sp.	MAST-8C	Stramenopiles
JQ781973.1.1814_U|18S_rRNA|nucleus|clone_155D8Ae6Ea|Eukaryota|TSAR|Stramenopiles|Bigyra|Sagenista|Sagenista_X|MAST-8|MAST-8D|MAST-8D_sp.	MAST-8D	Stramenopiles
JQ782009.1.1814_U|18S_rRNA|nucleus|clone_155D1Ae4AS|Eukaryota|TSAR|Stramenopiles|Bigyra|Sagenista|Sagenista_X|MAST-8|MAST-8D|MAST-8D_sp.	MAST-8D	Stramenopiles
JX188322.1.1754_U|18S_rRNA|nucleus|clone_CC02A105.047|Eukaryota|TSAR|Stramenopiles|Bigyra|Sagenista|Sagenista_X|MAST-9|MAST-9D|MAST-9D_sp.	MAST-9D	Stramenopiles
AY485457.1.1786_U|18S_rRNA|nucleus|strain_CCMP339|Eukaryota|TSAR|Stramenopiles|Gyrista|Bacillariophyceae|Bacillariales|Bacillariaceae|Cylindrotheca|Cylindrotheca_fusiformis	Diatomea	Stramenopiles
GU373961.1.1801_U|18S_rRNA|nucleus||Eukaryota|TSAR|Stramenopiles|Gyrista|Bacillariophyceae|Bacillariales|Bacillariaceae|Pseudo-nitzschia|Pseudo-nitzschia_australis	Diatomea	Stramenopiles
FJ222752.1.1219_U|18S_rRNA|nucleus||Eukaryota|TSAR|Stramenopiles|Gyrista|Bacillariophyceae|Bacillariales|Bacillariaceae|Pseudo-nitzschia|Pseudo-nitzschia_turgidula	Diatomea	Stramenopiles
EF100371.1.1232_U|18S_rRNA|nucleus|clone_D5P10D06|Eukaryota|TSAR|Stramenopiles|Gyrista|Bacillariophyceae|Bacillariophyceae_X|Bacillariophyceae_XX|Bacillariophyceae_XXX|Bacillariophyceae_XXX_sp.	Diatomea	Stramenopiles
FN263265.1.1798_U|18S_rRNA|nucleus|clone_A10|Eukaryota|TSAR|Stramenopiles|Gyrista|Bolidophyceae|Parmales|Parmales_env_2|Parmales_env_2_X|Parmales_env_2_X_sp.	Bolidophyceae	Stramenopiles
AY129063.1.1782_U|18S_rRNA|nucleus|clone_UEPAC48p3|Eukaryota|TSAR|Stramenopiles|Gyrista|Chrysophyceae|Chrysophyceae_Clade-EC2H|Chrysophyceae_Clade-EC2H_X|Chrysophyceae_Clade-EC2H_XX|Chrysophyceae_Clade-EC2H_XX_sp.	Chrysophyceae	Stramenopiles
KF130338.1.1751_U|18S_rRNA|nucleus|clone_ST8300.012|Eukaryota|TSAR|Stramenopiles|Gyrista|Chrysophyceae|Chrysophyceae_Clade-EC2H|Chrysophyceae_Clade-EC2H_X|Chrysophyceae_Clade-EC2H_XX|Chrysophyceae_Clade-EC2H_XX_sp.	Chrysophyceae	Stramenopiles
