AY954999.1	cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas pusilla
DQ004734.1	cellular organisms;Eukaryota;Sar;Alveolata;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum;Prorocentrum triestinum
AF163147.1	cellular organisms;Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Phaeocystales;Phaeocystaceae;Phaeocystis;Phaeocystis cordata
AF163148.1	cellular organisms;Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Phaeocystales;Phaeocystaceae;Phaeocystis;Phaeocystis jahnii
AJ246271.1	cellular organisms;Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Prymnesiales;Prymnesiaceae;Prymnesium;Prymnesium kappa
AJ246273.1	cellular organisms;Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina campanulifera
AJ246278.1	cellular organisms;Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina acantha
AJ246274.1	cellular organisms;Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina scutellum
DQ207579.1	cellular organisms;Eukaryota;Discoba;Euglenozoa;Kinetoplastea;Metakinetoplastina;Neobodonida;Neobodo;Neobodo designis
AJ564773.1	cellular organisms;Eukaryota;Eukaryota incertae sedis;Telonemia;Telonemida;Telonemidae;Telonema;Telonema antarcticum
U21338.1	cellular organisms;Eukaryota;Sar;Stramenopiles;Bigyra;Labyrinthulomycetes;Thraustochytrida;Thraustochytriidae;Labyrinthulochytrium;Labyrinthulochytrium haliotidis
X80344.1	cellular organisms;Eukaryota;Sar;Stramenopiles;Hyphochytriomycetes;Hyphochytriales;Hyphochytriaceae;Hyphochytrium;Hyphochytrium catenoides
KT757415.1	cellular organisms;Eukaryota;Opisthokonta;Choanoflagellata;Acanthoecida;Acanthoecidae;Acanthoeca;Acanthoeca spectabilis
